"filename", "language", "TypeScript React", "JavaScript", "compressionTargetFile", "TypeScript", "CSS", "JSON with Comments", "JSON", "HTML", "SQL", "Java", "comment", "blank", "total"
"/Users/omarelmasaoudi/Desktop/aom/client/src/pages/Modals/MedStockModal.tsx", "TypeScript React", 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25, 378
"/Users/omarelmasaoudi/Desktop/aom/client/src/pages/Orders/Add.tsx", "TypeScript React", 577, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48, 628
"/Users/omarelmasaoudi/Desktop/aom/client/src/pages/Orders/Med_Order.tsx", "TypeScript React", 346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32, 381
"/Users/omarelmasaoudi/Desktop/aom/client/src/pages/Orders/ViewMedOrders.tsx", "TypeScript React", 353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 377
"/Users/omarelmasaoudi/Desktop/aom/client/src/pages/Orders/ViewPartOrders.tsx", "TypeScript React", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 167
"/Users/omarelmasaoudi/Desktop/aom/client/src/pages/Orders/ViewPastMedOrders.tsx", "TypeScript React", 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 266
"/Users/omarelmasaoudi/Desktop/aom/client/src/pages/Orders/ViewPastPartOrders.tsx", "TypeScript React", 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 259
"/Users/omarelmasaoudi/Desktop/aom/client/src/pages/Plane_list.tsx", "TypeScript React", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 169
"/Users/omarelmasaoudi/Desktop/aom/client/src/pages/Registration/sign_in.tsx", "TypeScript React", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 188
"/Users/omarelmasaoudi/Desktop/aom/client/src/pages/Registration/sign_up.tsx", "TypeScript React", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/omarelmasaoudi/Desktop/aom/client/src/pages/Stock/Drug_stock.tsx", "TypeScript React", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 64
"/Users/omarelmasaoudi/Desktop/aom/client/src/pages/Stock/ExitEntryHistory.tsx", "TypeScript React", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 206
"/Users/omarelmasaoudi/Desktop/aom/client/src/pages/Stock/ExitEntryHistoryEquipment.tsx", "TypeScript React", 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 11, 209
"/Users/omarelmasaoudi/Desktop/aom/client/src/pages/Stock/MaintenanceStock.tsx", "TypeScript React", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 201
"/Users/omarelmasaoudi/Desktop/aom/client/src/pages/Stock/MedicalEquipmentStock.tsx", "TypeScript React", 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 258
"/Users/omarelmasaoudi/Desktop/aom/client/src/pages/Suppliers.tsx", "TypeScript React", 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 251
"/Users/omarelmasaoudi/Desktop/aom/client/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
